Date,Price,Open,High,Low,Change %
"Jul 07, 2003",1004.40,985.70,1005.60,985.70,1.90%
"Jul 08, 2003",1007.80,1004.40,1008.90,998.70,0.34%
"Jul 09, 2003",1002.20,1007.80,1010.40,998.20,-0.56%
"Jul 10, 2003",988.70,1002.20,1002.20,983.60,-1.35%
"Jul 11, 2003",998.10,988.70,1000.90,988.70,0.95%
"Jul 14, 2003",1003.90,998.10,1015.40,998.10,0.58%
"Jul 15, 2003",1000.40,1003.90,1009.60,996.70,-0.35%
"Jul 16, 2003",994.00,1000.40,1003.50,989.30,-0.64%
"Jul 17, 2003",981.70,994.00,994.00,978.60,-1.24%
"Jul 18, 2003",993.30,981.70,994.20,981.70,1.18%
"Jul 21, 2003",978.80,993.30,993.30,975.60,-1.46%
"Jul 22, 2003",988.10,978.80,990.30,976.10,0.95%
"Jul 23, 2003",988.60,988.10,989.90,979.80,0.05%
"Jul 24, 2003",981.60,988.60,998.90,981.10,-0.71%
"Jul 25, 2003",998.70,981.60,998.70,977.40,1.74%
"Jul 28, 2003",996.50,998.70,1000.70,993.60,-0.22%
"Jul 29, 2003",989.30,996.50,998.60,984.10,-0.72%
"Jul 30, 2003",987.50,989.30,992.60,986.00,-0.18%
"Jul 31, 2003",990.30,987.50,1004.60,987.50,0.28%
"Aug 01, 2003",980.10,990.30,990.30,978.90,-1.03%
"Aug 04, 2003",982.80,980.10,985.80,966.80,0.28%
"Aug 05, 2003",965.50,982.80,982.80,965.00,-1.76%
"Aug 06, 2003",967.10,965.50,975.70,960.80,0.17%
"Aug 07, 2003",974.10,967.10,974.90,963.80,0.72%
"Aug 08, 2003",977.60,974.10,980.60,973.80,0.36%
"Aug 11, 2003",980.60,977.60,985.50,974.20,0.31%
"Aug 12, 2003",990.40,980.60,990.40,979.90,1.00%
"Aug 13, 2003",984.00,990.40,992.50,980.90,-0.65%
"Aug 14, 2003",990.50,984.00,991.90,980.40,0.66%
"Aug 15, 2003",990.70,988.00,992.40,987.10,0.02%
